Album,Artist,Duration,Album Release Year,Vinyl Release Year,Format,Track Count
KIDS SEE GHOSTS,KIDS SEE GHOSTS,24,2018,2018,1xLP,7
Dancing in the Moonlight,King Harvest,6,1972,1972,Seven,2
Sound of Silver,LCD Soundsystem,57,2007,2007,2xLP,9
This Is Happening,LCD Soundsystem,66,2010,2017,2xLP,9
Electric Lady Sessions,LCD Soundsystem,69,2019,2019,2xLP,12
K.I.D.S.,Mac Miller,48,2010,2020,2xLP,16
Blue Slide Park,Mac Miller,47,2011,2021,2xLP,16
The Divine Feminine,Mac Miller,53,2016,2016,2xLP,10
Swimming,Mac Miller,59,2018,2020,2xLP,13
Circles,Mac Miller,58,2020,2020,2xLP,14
Overkill,Men at Work,7,1983,1983,Seven,2
Operation: Doomsday,MF DOOM,58,1999,2016,2xLP,19
MM..FOOD,MF DOOM,49,2004,2020,2xLP,15
Be the Cowboy,Mitski,33,2018,2018,1xLP,14
Laurel Hell,Mitski,33,2022,2022,1xLP,11
Etazhi,Molchat Doma,34,2018,2022,1xLP,9
Pink Moon,Nick Drake,29,1972,2013,1xLP,11
Super Champon,Otoboke Beaver,22,2022,2022,1xLP,18
Sussudio,Phil Collins,9,1985,1985,Seven,2
Stranger in the Alps,Phoebe Bridgers,45,2017,2017,1xLP,11
Punisher,Phoebe Bridgers,41,2020,2020,1xLP,11
Man It Feels Like Space Again,Pond,46,2015,2015,1xLP,9
The Weather,Pond,40,2017,2017,1xLP,10
9,Pond,40,2021,2021,1xLP,9
9 (Deluxe Edition),Pond,54,2022,2022,2xLP,13
Stoney,Post Malone,40,2016,2017,2xLP,14
beerbongs & bentleys,Post Malone,65,2018,2018,2xLP,18
Hollywood's Bleeding,Post Malone,51,2019,2020,2xLP,17
Run The Jewels,Run The Jewels,56,2013,2020,2xLP,16
Run the Jewels 2,Run The Jewels,40,2014,2022,2xLP,11
Run The Jewels 3,Run The Jewels,52,2016,2022,2xLP,14
RTJ4,Run The Jewels,40,2020,2020,2xLP,12
Color Theory,Soccer Mommy,45,2020,2020,1xLP,10
82 92,"Statik Selektah, Termanology, Mac Miller",8,2011,2023,seven,2
World Wide Pop,Superorganism,41,2022,2022,1xLP,13
InnerSpeaker,Tame Impala,53,2010,2011,2xLP,12
Temple Of The Dog,Temple Of The Dog,56,1991,2016,1xLP,10
Since I Left You,The Avalanches,61,2000,2017,2xLP,18
Wildflower,The Avalanches,60,2016,2016,2xLP,21
We Will Always Love You,The Avalanches,71,2020,2020,2xLP,25
Cowboy Bebop,The Seatbelts,76,1998,2021,2xLP,22
The Joker (Live),The Steve Miller Band,11,1983,1983,Seven,2
Is This It,The Strokes,37,2001,2015,1xLP,11
Angles,The Strokes,35,2011,2011,1xLP,10
The New Abnormal,The Strokes,46,2020,2020,1xLP,9
Virtue,The Voidz,59,2018,2018,2xLP,15
After Hours,The Weeknd,57,2020,2020,2xLP,14
Dawn FM,The Weeknd,52,2022,2022,2xLP,16
"The Traveling Wilburys, Vol. 1",Traveling Wilburys,37,1988,2016,1xLP,10
1984,Van Halen,34,1984,2015,1xLP,9
Space Jam,Various,65,1996,2021,2xLP,14
Guardians of the Galaxy: Awesome Mix Vol. 1,Various,45,2014,2017,1xLP,12
Moana The Songs,Various,29,2016,2017,1xLP,13
Guardians of the Galaxy Vol. 2: Awesome Mix Vol. 2,Various,54,2017,2020,1xLP,14
Evangelion Finally,Various,79,2020,2021,2xLP,15
Pokémon 25: The Album,Various,43,2021,2022,1xLP,10
A Charlie Brown Christmas,Vince Guaraldi Trio,40,1965,2021,1xLP,12
Weezer (the blue album),Weezer,42,1994,2020,1xLP,10
OK Human,Weezer,31,2021,2021,1xLP,12
Heaven To A Tortured Mind,Yves Tumor,37,2020,2020,1xLP,12
