Album,Artist,Duration,Album Release Year,Vinyl Release Year,Format,Track Count
the first glass beach album,glass beach,65,2019,2020,2xLP,16
Floss,Injury Reserve,43,2016,2023,1xLP,12
Injury Reserve,Injury Reserve,29,2019,2019,1xLP,13
By the Time I Get to Phoenix,Injury Reserve,42,2021,2022,1xLP,11
Jubilee,Japanese Breakfast,38,2021,2021,1xLP,10
Worry,Jeff Rosenstock,38,2016,2020,1xLP,17
Rainbow Connection,Jim Henson,6,1979,1979,Seven,2
I Love You Jennifer B,Jockstrap,45,2022,2022,1xLP,10
Summer's Over,"Jordana, TV Girl",22,2021,2023,1xLP,7
LP! (OFFLINE),JPEGMAFIA,114,2021,2023,4xLP,40
SCARING THE HOES,"JPEGMAFIA, Danny Brown",37,2023,2023,1xLP,14
ye,Kanye West,24,2018,2018,1xLP,7
Donda,Kanye West,131,2021,2022,4xLP,32
Man On The Moon: The End Of The Day,Kid Cudi,60,2009,2009,2xLP,15
Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi,63,2010,2010,2xLP,17
Man On The Moon III: The Chosen,Kid Cudi,59,2020,2021,2xLP,18
Man On The Moon III: The Chosen (picture disc),Kid Cudi,59,2020,2021,2xLP,18
Entergalactic,Kid Cudi,46,2022,2023,1xLP,15
KIDS SEE GHOSTS,KIDS SEE GHOSTS,24,2018,2018,1xLP,7
Dancing in the Moonlight,King Harvest,6,1972,1972,Seven,2
Wheel,Laura Stevenson,47,2014,2022,1xLP,13
LCD Soundsystem,LCD Soundsystem,47,2005,2005,1xLP,9
Sound of Silver,LCD Soundsystem,57,2007,2007,2xLP,9
This Is Happening,LCD Soundsystem,66,2010,2017,2xLP,9
Electric Lady Sessions,LCD Soundsystem,69,2019,2019,2xLP,12
K.I.D.S.,Mac Miller,48,2010,2020,2xLP,16
Blue Slide Park,Mac Miller,47,2011,2021,2xLP,16
Macadelic,Mac Miller,65,2012,2022,2xLP,17
The Divine Feminine,Mac Miller,53,2016,2016,2xLP,10
NPR Music Tiny Desk Concert,Mac Miller,18,2018,2023,1xLP,3
Swimming,Mac Miller,59,2018,2020,2xLP,13
Circles,Mac Miller,58,2020,2020,2xLP,14
Overkill,Men at Work,7,1983,1983,Seven,2
Operation: Doomsday,MF DOOM,58,1999,2016,2xLP,19
MM..FOOD,MF DOOM,49,2004,2020,2xLP,15
Bury Me At Makeout Creek,Mitski,31,2014,2016,1xLP,10
Be the Cowboy,Mitski,33,2018,2018,1xLP,14
Laurel Hell,Mitski,33,2022,2022,1xLP,11
Etazhi,Molchat Doma,34,2018,2022,1xLP,9
Pink Moon,Nick Drake,29,1972,2013,1xLP,11
Super Champon,Otoboke Beaver,22,2022,2022,1xLP,18
Wide Awake!,Parquet Courts,39,2018,2018,1xLP,13
Sussudio,Phil Collins,9,1985,1985,Seven,2
Stranger in the Alps,Phoebe Bridgers,45,2017,2017,1xLP,11
Punisher,Phoebe Bridgers,41,2020,2020,1xLP,11
Man It Feels Like Space Again,Pond,46,2015,2015,1xLP,9
The Weather,Pond,40,2017,2017,1xLP,10
9,Pond,40,2021,2021,1xLP,9
9 (Deluxe Edition),Pond,54,2022,2022,2xLP,13
Stoney,Post Malone,40,2016,2017,2xLP,14
beerbongs & bentleys,Post Malone,65,2018,2018,2xLP,18
Hollywood's Bleeding,Post Malone,51,2019,2020,2xLP,17
News of the World,Queen,40,1977,1977,1xLP,11
Run The Jewels,Run The Jewels,56,2013,2020,2xLP,16
Run the Jewels 2,Run The Jewels,40,2014,2022,2xLP,11
Run The Jewels 3,Run The Jewels,52,2016,2022,2xLP,14
RTJ4,Run The Jewels,40,2020,2020,2xLP,12
Cowboy Bebop,SEATBELTS,76,1998,2021,2xLP,22
Color Theory,Soccer Mommy,45,2020,2020,1xLP,10
82 92,"Statik Selektah, Termanology, Mac Miller",8,2011,2023,Seven,2
The Joker (Live),"Steve Miller Band, The",11,1983,1983,Seven,2
Is This It,"Strokes, The",37,2001,2015,1xLP,11
Angles,"Strokes, The",35,2011,2011,1xLP,10
The New Abnormal,"Strokes, The",46,2020,2020,1xLP,9
Superorganism,Superorganism,34,2018,2018,1xLP,10
World Wide Pop,Superorganism,41,2022,2022,1xLP,13
Speaking In Tongues,Talking Heads,48,1983,2013,1xLP,9
InnerSpeaker,Tame Impala,53,2010,2011,2xLP,12
Temple Of The Dog,Temple Of The Dog,56,1991,2016,1xLP,10
Tenacious D,Tenacious D,51,2001,2013,2xLP,21
Now Playing: The Notorious B.I.G.,The Notorious B.I.G.,45,2023,2023,1xLP,10
"The Traveling Wilburys, Vol. 1",Traveling Wilburys,37,1988,2016,1xLP,10
French Exit,TV Girl,41,2014,2021,1xLP,12
